cycle_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
465,9891,9918,,,,,,,,,,,,,
466,9909,9936,,,,,,,,,,,,,
467,9918,9891,,,,,,,,,,,,,
468,9927,9954,,,,,,,,,,,,,
469,9936,9909,,,,,,,,,,,,,
470,9945,9972,,,,,,,,,,,,,
471,9954,9927,,,,,,,,,,,,,
472,9963,9990,,,,,,,,,,,,,
473,9972,9945,,,,,,,,,,,,,
474,10035,10044,,,,,,,,,,,,,
475,9990,9963,,,,,,,,,,,,,
476,10017,10026,,,,,,,,,,,,,
477,10026,10017,,,,,,,,,,,,,
478,10044,10035,,,,,,,,,,,,,
479,10053,10062,,,,,,,,,,,,,
480,10062,10053,,,,,,,,,,,,,
481,10071,10080,,,,,,,,,,,,,
482,10080,10071,,,,,,,,,,,,,
483,10107,10116,,,,,,,,,,,,,
484,10116,10107,,,,,,,,,,,,,
485,10125,10134,,,,,,,,,,,,,
486,10134,10125,,,,,,,,,,,,,
487,10143,10152,,,,,,,,,,,,,
488,10152,10143,,,,,,,,,,,,,
489,10161,10170,,,,,,,,,,,,,
490,10170,10161,,,,,,,,,,,,,
491,10215,10224,,,,,,,,,,,,,
492,10224,10215,,,,,,,,,,,,,
493,10233,10242,,,,,,,,,,,,,
494,10242,10233,,,,,,,,,,,,,
495,10251,10260,,,,,,,,,,,,,
496,10260,10251,,,,,,,,,,,,,
497,10305,10314,,,,,,,,,,,,,
498,10314,10305,,,,,,,,,,,,,
499,10323,10332,,,,,,,,,,,,,
500,10332,10323,,,,,,,,,,,,,
501,10341,10350,,,,,,,,,,,,,
